City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
535,Lethem,GY,82.4,broken clouds,3.3803,-59.7968,Bonfim
536,Adeje,ES,77.0,clear sky,28.1227,-16.726,Arona
542,Santa Maria,BR,82.4,broken clouds,-29.6842,-53.8069,Santa Maria
544,Quatre Cocos,MU,82.0,broken clouds,-20.2078,57.7625,Central Flacq
545,Angoram,PG,75.13,overcast clouds,-4.0625,144.0661,Angoram
546,Ilabaya,PE,75.18,broken clouds,-17.4208,-70.5133,Ilabaya District
547,Kokopo,PG,79.93,light rain,-4.352,152.2633,Kokopo
549,El Cope,PA,87.01,scattered clouds,8.6167,-80.6,El Cope
551,Sitio Novo Do Tocantins,BR,81.7,light rain,-5.5183,-47.4611,Imperatriz
555,Kavieng,PG,82.58,light rain,-2.5744,150.7967,Kaewieng
556,Katakwi,UG,87.08,overcast clouds,1.8911,33.9661,Katakwi
565,Bathsheba,BB,86.0,scattered clouds,13.2167,-59.5167,Wilson Hill
573,Daru,PG,75.79,overcast clouds,-9.0763,143.2092,Daru
578,Huambo,AO,75.31,broken clouds,-12.7761,15.7392,Huambo
580,Pandan,PH,76.37,broken clouds,14.0453,124.1694,Pandan
582,Boynton Beach,US,86.0,scattered clouds,26.5254,-80.0664,Boynton Beach
586,Grand Gaube,MU,82.0,overcast clouds,-20.0064,57.6608,Goodlands
587,Balabac,PH,77.81,scattered clouds,7.9868,117.0645,Balabac
590,Padang,ID,78.8,scattered clouds,-0.9492,100.3543,Padang
595,Aloleng,PH,76.91,scattered clouds,16.1307,119.7824,Agno
599,Ugoofaaru,MV,81.75,overcast clouds,5.6667,73.0,Ungoofaaru
601,Trincomalee,LK,78.48,few clouds,8.5711,81.2335,Trincomalee
603,Metro,ID,76.15,overcast clouds,-5.1131,105.3067,Metro
608,Nabire,ID,76.6,overcast clouds,-3.3667,135.4833,Nabire
609,Waingapu,ID,77.38,overcast clouds,-9.6567,120.2641,Waingapu
611,Cozumel,MX,84.2,scattered clouds,20.5083,-86.9458,San Miguel de Cozumel
613,Vangaindrano,MG,75.87,light rain,-23.35,47.6,Vangaindrano
616,The Valley,AI,82.4,few clouds,18.217,-63.0578,The Valley
623,Diamantino,BR,82.6,overcast clouds,-14.4086,-56.4461,Diamantino
625,Fomboni,KM,83.79,overcast clouds,-12.28,43.7425,Fomboni
628,Tual,ID,82.69,overcast clouds,-5.6667,132.75,Tual
629,Santiago Del Estero,AR,88.86,light rain,-27.7951,-64.2615,Santiago del Estero
630,Acajutla,SV,75.2,clear sky,13.5928,-89.8275,Acajutla
632,Buala,SB,80.01,overcast clouds,-8.145,159.5921,Buala
635,Voi,KE,84.56,broken clouds,-3.3945,38.563,Voi
639,Manakara,MG,77.9,overcast clouds,-22.1333,48.0167,Manakara
650,Hualmay,PE,77.68,clear sky,-11.0964,-77.6139,Huacho
651,Villa Carlos Paz,AR,77.0,moderate rain,-31.4241,-64.4978,Villa Carlos Paz
652,Kotido,UG,85.28,overcast clouds,2.9806,34.1331,Kotido
653,Iquique,CL,77.0,clear sky,-20.2208,-70.1431,Iquique
659,Buin,CL,75.0,haze,-33.7333,-70.75,San Bernardo
662,Kabompo,ZM,77.34,clear sky,-13.5927,24.2008,Kabompo
673,Trairi,BR,87.8,overcast clouds,-3.2778,-39.2689,Trairi
675,Batticaloa,LK,77.25,few clouds,7.7102,81.6924,Batticaloa
677,Kudahuvadhoo,MV,81.59,overcast clouds,2.6708,72.8944,Kudahuvadhoo
678,Morondava,MG,77.65,moderate rain,-20.2833,44.2833,Morondava
679,Rocha,UY,80.1,overcast clouds,-34.4833,-54.3333,Rocha
686,Maldonado,UY,78.8,few clouds,-34.6667,-54.9167,Chacra Gaia
