City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Kushima,JP,2021-02-15 03:26:19,31.4583,131.2333,66.2,55,75,24.16
67,Tiksi,RU,2021-02-15 03:26:19,71.6872,128.8694,-18.4,89,99,6.06
68,Bara,NG,2021-02-15 03:22:07,10.3744,10.7288,68.54,24,0,5.82
69,Ojinaga,MX,2021-02-15 03:26:19,29.5667,-104.4167,19.4,58,90,13.11
70,Kamenka,RU,2021-02-15 03:26:20,51.3223,42.7678,-6.18,92,0,7.2
71,High Level,CA,2021-02-15 03:26:20,58.5169,-117.136,5.0,61,1,16.11
72,Krasnotorka,UA,2021-02-15 03:26:20,48.682,37.5327,12.52,95,18,4.0
73,Kruisfontein,ZA,2021-02-15 03:26:20,-34.0033,24.7314,68.0,82,88,8.01
74,Ponta Do Sol,PT,2021-02-15 03:26:21,32.6667,-17.1,57.2,82,20,3.44
75,Arraial Do Cabo,BR,2021-02-15 03:23:47,-22.9661,-42.0278,75.88,88,100,12.84
76,Port-Gentil,GA,2021-02-15 03:26:21,-0.7193,8.7815,81.45,80,100,13.96
77,Bereda,ES,2021-02-15 03:26:22,43.2686,-7.5406,59.0,55,0,12.66
78,East London,ZA,2021-02-15 03:26:22,-33.0153,27.9116,68.0,100,90,18.41
79,Hilo,US,2021-02-15 03:26:22,19.7297,-155.09,80.6,61,1,14.97
80,Vanimo,PG,2021-02-15 03:26:22,-2.6741,141.3028,79.65,86,100,14.07
81,Ukiah,US,2021-02-15 03:21:56,39.1502,-123.2078,46.4,93,90,2.57
82,Jamestown,US,2021-02-15 03:22:59,42.097,-79.2353,17.01,85,20,3.76
83,Manacapuru,BR,2021-02-15 03:26:23,-3.2997,-60.6206,75.2,94,40,2.3
84,San Policarpo,PH,2021-02-15 03:26:23,12.1791,125.5072,77.7,92,100,14.79
85,Atamanovka,RU,2021-02-15 03:26:23,51.93,113.63,-7.6,64,100,4.56
86,Yumen,CN,2021-02-15 03:26:24,40.2833,97.2,31.69,81,100,1.92
87,Carnarvon,AU,2021-02-15 03:26:24,-24.8667,113.6333,86.0,84,0,9.22
88,Kattivakkam,IN,2021-02-15 03:26:24,13.2167,80.3167,77.0,78,20,2.3
89,Nome,US,2021-02-15 03:26:25,64.5011,-165.4064,24.8,46,90,3.44
90,Jasdan,IN,2021-02-15 03:26:25,22.0333,71.2,66.2,94,75,5.75
91,Airai,TL,2021-02-15 03:26:25,-8.9266,125.4092,72.32,74,99,4.72
92,Kramat,ID,2021-02-15 03:26:25,-8.1311,113.4499,85.86,59,82,2.04
93,Caravelas,BR,2021-02-15 03:26:26,-17.7125,-39.2481,75.09,83,100,5.95
94,Warri,NG,2021-02-15 03:26:26,5.5167,5.75,77.58,90,3,2.59
95,Tias,ES,2021-02-15 03:26:26,28.9611,-13.645,62.6,88,90,10.36
96,Kapaa,US,2021-02-15 03:26:27,22.0752,-159.319,78.8,69,1,10.36
97,Kodiak,US,2021-02-15 03:26:27,57.79,-152.4072,39.2,87,90,8.05
98,Tarrafal,CV,2021-02-15 03:26:27,15.2833,-23.7667,71.6,56,20,20.71
99,Mugur-Aksy,RU,2021-02-15 03:26:27,50.35,90.5,17.49,83,68,4.68
100,Nuuk,GL,2021-02-15 03:23:54,64.1835,-51.7216,14.0,85,90,3.44
101,Tabuk,PH,2021-02-15 03:26:28,17.4189,121.4443,75.18,73,100,6.31
102,Colac,AU,2021-02-15 03:26:28,-38.3333,143.5833,69.01,77,80,3.0
103,Nantucket,US,2021-02-15 03:21:33,41.2835,-70.0995,37.99,93,90,9.22
104,Riachao,BR,2021-02-15 03:26:29,-7.3619,-46.6172,71.33,97,100,6.29
105,Ugoofaaru,MV,2021-02-15 03:21:45,5.6667,73.0,81.12,64,50,7.34
106,San Luis De Planes,HN,2021-02-15 03:26:30,14.9833,-88.1333,77.0,88,29,0.83
107,Aklavik,CA,2021-02-15 03:26:30,68.2191,-135.0107,-2.2,84,100,1.14
108,Qandala,SO,2021-02-15 03:26:30,11.472,49.8728,71.62,58,11,5.19
109,Grindavik,IS,2021-02-15 03:26:31,63.8424,-22.4338,39.2,100,75,10.36
110,Loubomo,CG,2021-02-15 03:26:31,-4.1997,12.6739,71.58,97,100,2.62
111,Alice Springs,AU,2021-02-15 03:26:31,-23.7,133.8833,87.8,18,0,14.97
112,Gezing,AT,2021-02-15 03:26:32,47.9178,13.1299,19.4,63,65,9.22
113,Abha,SA,2021-02-15 03:26:32,18.2164,42.5053,57.2,58,0,11.5
114,Brancoveni,RO,2021-02-15 03:26:32,44.3167,24.3,23.0,73,0,6.91
115,Hofn,IS,2021-02-15 03:26:32,64.2539,-15.2082,41.83,93,100,10.09
116,Kitui,KE,2021-02-15 03:26:33,-1.367,38.0106,63.23,97,74,2.57
117,Provideniya,RU,2021-02-15 03:26:33,64.3833,-173.3,12.2,73,20,15.66
118,Praia Da Vitoria,PT,2021-02-15 03:26:33,38.7333,-27.0667,53.6,82,40,25.28
119,Soyo,AO,2021-02-15 03:26:33,-6.1349,12.3689,79.54,81,100,7.58
120,Kodinar,IN,2021-02-15 03:26:34,20.7903,70.7031,67.3,76,0,6.46
121,Khakurinokhabl,RU,2021-02-15 03:26:34,45.0201,40.2291,22.82,97,100,8.63
122,Mwinilunga,ZM,2021-02-15 03:26:35,-11.7358,24.4293,61.68,93,40,1.59
123,Broken Hill,AU,2021-02-15 03:25:14,-31.95,141.4333,87.8,23,0,12.66
124,Shahdadkot,PK,2021-02-15 03:26:35,27.8477,67.9055,64.62,26,0,3.18
125,Tautira,PF,2021-02-15 03:26:35,-17.7333,-149.15,84.2,65,40,12.66
126,Cape Town,ZA,2021-02-15 03:22:04,-33.9258,18.4232,66.0,55,20,5.75
127,Kahului,US,2021-02-15 03:26:36,20.8947,-156.47,78.8,69,40,5.75
128,Souillac,MU,2021-02-15 03:26:36,-20.5167,57.5167,75.2,88,40,4.61
129,Fortuna,US,2021-02-15 03:26:36,40.5982,-124.1573,48.99,100,90,16.11
130,Huarmey,PE,2021-02-15 03:26:36,-10.0681,-78.1522,72.01,77,54,7.81
131,Port Alfred,ZA,2021-02-15 03:26:37,-33.5906,26.891,69.01,92,100,5.99
132,Suntar,RU,2021-02-15 03:26:37,62.1444,117.6319,-24.36,84,39,5.32
133,Kokologo,BF,2021-02-15 03:26:37,12.1897,-1.8856,77.0,19,0,5.75
134,Harper,LR,2021-02-15 03:26:38,4.375,-7.7169,78.19,89,79,5.88
135,Ketchikan,US,2021-02-15 03:26:38,55.3422,-131.6461,33.8,100,90,5.17
136,Itarema,BR,2021-02-15 03:23:12,-2.9248,-39.9167,79.05,85,52,9.75
137,Encheng,CN,2021-02-15 03:26:38,22.1839,112.3026,75.0,52,11,5.97
138,Jacareacanga,BR,2021-02-15 03:26:39,-6.2222,-57.7528,72.88,98,100,1.34
139,Pacifica,US,2021-02-15 03:26:39,37.6138,-122.4869,54.0,93,90,3.44
140,Pringsewu,ID,2021-02-15 03:26:39,-5.3582,104.9744,80.42,81,82,6.96
141,Sarandi,BR,2021-02-15 03:26:40,-23.4436,-51.8739,68.0,83,0,2.26
142,Sao Filipe,CV,2021-02-15 03:26:40,14.8961,-24.4956,70.39,76,61,6.55
143,Darhan,MN,2021-02-15 03:26:40,49.4867,105.9228,1.65,88,100,3.58
144,Barrow,US,2021-02-15 03:26:40,71.2906,-156.7887,-9.4,70,90,8.05
145,Santander Jimenez,MX,2021-02-15 03:26:41,24.2167,-98.4667,47.55,61,3,10.02
146,Slave Lake,CA,2021-02-15 03:26:41,55.2834,-114.769,-4.0,65,90,20.71
147,Kuytun,RU,2021-02-15 03:26:41,54.3419,101.5036,-10.8,89,0,4.63
148,Mandurah,AU,2021-02-15 03:26:41,-32.55,115.7,88.0,46,98,6.55
149,Cabo San Lucas,MX,2021-02-15 03:25:50,22.8909,-109.9124,64.99,77,20,14.97
150,Iqaluit,CA,2021-02-15 03:26:42,63.7506,-68.5145,-4.0,77,90,6.91
151,Ayan,RU,2021-02-15 03:26:42,56.45,138.1667,6.85,93,100,12.53
152,Basoko,CD,2021-02-15 03:26:42,1.2391,23.616,75.42,73,100,1.57
153,Ancud,CL,2021-02-15 03:26:43,-41.8697,-73.8203,51.01,66,0,9.22
154,Adrar,MR,2021-02-15 03:26:43,20.5022,-10.0711,63.7,27,0,13.38
155,Constitucion,CL,2021-02-15 03:26:43,-35.3333,-72.4167,56.52,87,0,5.91
156,Bubaque,GW,2021-02-15 03:26:43,11.2833,-15.8333,76.33,67,63,10.89
157,Thompson,CA,2021-02-15 03:25:42,55.7435,-97.8558,-7.6,84,75,4.61
158,Valparaiso,CL,2021-02-15 03:26:44,-33.0393,-71.6273,59.0,94,90,4.61
159,Port Augusta,AU,2021-02-15 03:26:44,-32.5,137.7667,91.0,28,0,9.22
160,Yellowknife,CA,2021-02-15 03:26:45,62.456,-114.3525,-9.0,77,1,8.05
161,Lac Du Bonnet,CA,2021-02-15 03:26:45,50.2536,-96.0612,-28.64,84,0,4.76
